CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6001441926,California,Alameda,4573,2258,2315,39.4,14.1,2.3,0.3,40.5,0.7,1685,76011.0,7503.0,27215.0,3602.0,6.1,2.1,46.6,19.9,13.8,5.1,14.6,68.2,17.4,7.3,4.0,1.9,1.2,29.0,2329,90.9,5.5,3.5,0.0,1.6
6001441927,California,Alameda,4312,2166,2146,6.7,13.1,5.8,0.0,66.2,0.2,1752,92532.0,10733.0,41768.0,3870.0,4.8,5.8,69.6,7.3,16.4,0.4,6.3,60.9,11.2,20.7,4.0,0.6,2.6,40.3,2063,91.4,3.9,4.7,0.0,5.9
6001442000,California,Alameda,3228,1616,1612,0.8,22.5,0.1,0.0,71.7,0.4,2230,158000.0,21781.0,57586.0,5682.0,4.3,4.9,74.9,7.6,15.4,0.8,1.3,65.2,15.0,7.8,0.4,3.7,7.8,32.3,1580,75.5,18.3,6.2,0.0,6.2
6001442100,California,Alameda,5245,2535,2710,4.2,17.3,0.6,0.6,74.4,0.0,3112,151250.0,18515.0,53529.0,3846.0,2.8,0.0,79.5,3.2,10.6,1.8,4.9,77.7,10.1,5.0,0.6,1.3,5.4,34.7,2341,88.6,7.6,3.8,0.0,4.4
6001442200,California,Alameda,6906,3415,3491,4.1,22.4,0.4,0.0,67.7,0.9,4137,147375.0,25461.0,50398.0,4953.0,2.2,1.1,68.2,7.6,15.4,5.2,3.6,75.1,9.4,6.8,1.0,0.7,6.9,35.3,3005,86.0,4.8,9.2,0.0,5.7
6001442301,California,Alameda,4811,2531,2280,15.3,21.9,6.4,0.3,53.0,0.0,2616,82256.0,5039.0,34573.0,6552.0,10.9,9.0,47.7,15.1,19.5,6.3,11.5,74.2,12.4,5.2,2.7,3.0,2.4,29.2,2253,84.5,12.6,2.9,0.0,5.7
6001442302,California,Alameda,5476,2618,2858,13.7,21.9,11.4,0.5,48.4,0.5,3149,73871.0,13528.0,36576.0,5315.0,11.1,7.8,47.5,14.7,24.7,2.6,10.6,73.2,10.7,11.5,1.1,1.5,1.9,29.7,2720,88.9,6.9,4.2,0.0,11.1
6001442400,California,Alameda,6988,3547,3441,33.6,23.5,3.4,0.4,35.3,1.1,4196,100656.0,10713.0,35439.0,4090.0,13.8,23.2,45.8,20.9,17.2,6.9,9.3,73.6,10.1,7.6,0.2,0.7,7.8,30.4,3729,85.2,8.3,6.5,0.0,7.1
6001442500,California,Alameda,7473,3627,3846,16.8,26.9,8.6,1.3,40.9,1.4,4418,72445.0,6194.0,27051.0,2863.0,6.0,1.0,38.8,17.9,25.9,6.7,10.7,60.6,13.9,7.4,8.7,4.1,5.2,25.3,3697,86.2,8.9,4.9,0.0,6.2
6001442601,California,Alameda,3761,1878,1883,17.7,40.2,2.4,0.0,35.7,0.0,2641,121719.0,23226.0,43390.0,4619.0,3.4,1.0,55.9,8.5,25.3,4.4,5.8,66.1,16.2,11.3,0.0,0.0,6.3,30.1,1920,84.6,11.4,4.0,0.0,4.8
