School,City,Region,Applied,Admitted,Enrolled
LE GRAND UNION HIGH SCHOOL,Le Grand,Merced,26,18,6
LEADERSHIP HIGH SCHOOL,San Francisco,San Francisco,32,17,13
LEADERSHIP MILITARY ACADEMY,Moreno Valley,Riverside,,,
LEADERSHIP PUBLIC SCH HAYWARD,Hayward,Alameda,72,58,35
LEADERSHIP PUBLIC SCH RICHMOND,Richmond,Contra Costa,75,51,28
LEARNING CHOICE ACADEMY,La Mesa,San Diego,12,4,
LEARNING FOR LIFE CHARTER SCHL,Marina,Monterey,,,
LEARNING POST ACADEMY,Santa Clarita,Los Angeles,,,
LEE POLLARD HIGH SCHOOL,Corona,Riverside,,,
LEE VINING HIGH SCHOOL,Lee Vining,Mono,,,
LEGACY HIGH SCHOOL VAPA,South Gate,Los Angeles,24,15,5
LEIGH HIGH SCHOOL,San Jose,Santa Clara,144,85,42
LELAND HIGH SCHOOL,San Jose,Santa Clara,274,182,89
LEMOORE MIDDLE COLLEGE HIGH SC,Lemoore,Kings,25,17,6
LEMOORE UNION HIGH SCHOOL,Lemoore,Kings,41,21,10
LENNOX MATH SCIENCE TECH ACAD,Inglewood,Los Angeles,78,41,17
LEROY GREENE ACADEMY,Sacramento,Sacramento,20,10,8
LEUZINGER HIGH SCHOOL,Lawndale,Los Angeles,102,54,27
LIBERTY HIGH SCHOOL,Bakersfield,Kern,69,42,22
LIBERTY HIGH SCHOOL,Brentwood,Contra Costa,77,54,24
LIBERTY HIGH SCHOOL,Madera,Madera,14,7,
LIBERTY HIGH SCHOOL,San Jose,Santa Clara,,,
LIBERTY RANCH HIGH SCHOOL,Galt,Sacramento,34,22,7
LIBRA ACADEMY AT LINDA MARQUEZ HS,Huntington Park,Los Angeles,41,19,10
LIFE ACADEMY HIGH SCHOOL,Oakland,Alameda,22,20,14
LIFELINE EDUCATION CHARTER SCH,Compton,Los Angeles,30,5,3
LIGHTHOUSE COMMUNITY CHAR HS,Oakland,Alameda,32,15,8
LINCOLN HIGH SCHOOL,Lincoln,Placer,34,22,14
LINCOLN HIGH SCHOOL,Stockton,San Joaquin,81,48,22
LINCOLN HIGH SCHOOL,San Diego,San Diego,91,43,26
LINDA MARQUEZ HS-SOC JUSTICE,Huntington Park,Los Angeles,26,15,8
LINDEN HIGH SCHOOL,Linden,San Joaquin,16,12,5
LINDHURST HIGH SCHOOL,Olivehurst,Yuba,17,13,6
LINDSAY HIGH SCHOOL,Lindsay,Tulare,20,12,7
LITERACY FIRST CHARTER SCHOOLS,Alpine,San Diego,14,7,3
LITTLEROCK HIGH SCHOOL,Littlerock,Los Angeles,39,17,6
LIVE OAK HIGH SCHOOL,Live Oak,Sutter,22,14,8
LIVE OAK HIGH SCHOOL,Morgan Hill,Santa Clara,56,35,15
LIVERMORE HIGH SCHOOL,Livermore,Alameda,101,65,41
LIVINGSTON HIGH SCHOOL,Livingston,Merced,53,41,21
LOARA HIGH SCHOOL,Anaheim,Orange,89,42,24
LODI HIGH SCHOOL,Lodi,San Joaquin,48,28,16
LOMA VISTA COMMUNITY SCHOOL,San Luis Obispo,San Luis Obispo,,,
LOMPOC HIGH SCHOOL,Lompoc,Santa Barbara,10,7,3
LONE PINE HIGH SCHOOL,Lone Pine,Inyo,,,
LONG BEACH POLYTECHNIC HS,Long Beach,Los Angeles,290,196,92
LOS ALAMITOS HIGH SCHOOL,Los Alamitos,Orange,244,136,72
LOS ALTOS HIGH SCHOOL,Hacienda Heights,Los Angeles,67,39,15
LOS ALTOS HIGH SCHOOL,Los Altos,Santa Clara,265,173,70
LOS AMIGOS HIGH SCHOOL,Fountain Valley,Orange,97,61,31
LOS ANGELES ACAD ARTS ENTRPRSE,Los Angeles,Los Angeles,17,7,3
LOS ANGELES COLG PREP ACADEMY,Los Angeles,Los Angeles,19,5,5
LOS ANGELES COUNTY HS FOR THE ARTS,Los Angeles,Los Angeles,45,21,9
LOS ANGELES COUNTY OFFICE OF EDUCTN,Downey,Los Angeles,,,
LOS ANGELES HS OF THE ARTS,Los Angeles,Los Angeles,27,19,12
LOS ANGELES LEADERSHIP ACAD HS,Los Angeles,Los Angeles,19,6,3
LOS ANGELES SCH GLOBAL STUDIES,Los Angeles,Los Angeles,13,5,
LOS ANGELES SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,48,27,15
LOS BANOS HIGH SCHOOL,Los Banos,Merced,34,24,16
LOS GATOS HIGH SCHOOL,Los Gatos,Santa Clara,269,156,70
LOS MOLINOS HIGH SCHOOL,Los Molinos,Tehama,7,,
LOS OSOS HIGH SCHOOL,Rancho Cucamonga,San Bernardino,271,201,122
LOWELL HIGH SCHOOL,San Francisco,San Francisco,515,376,215
LOWER LAKE HIGH SCHOOL,Lower Lake,Lake,17,11,6
LOYALTON HIGH SCHOOL,Loyalton,Sierra,,,
LPS OAKLAND R&D CAMPUS,Oakland,Alameda,32,22,5
LUIS VALDEZ LEADERSHIP ACADEMY,San Jose,Santa Clara,48,35,12
LUTHER BURBANK HIGH SCHOOL,Sacramento,Sacramento,92,46,20
LYNBROOK HIGH SCHOOL,San Jose,Santa Clara,305,242,122
LYNWOOD HIGH SCHOOL,Lynwood,Los Angeles,110,60,30
MADERA HIGH SCHOOL,Madera,Madera,64,44,16
MADERA SOUTH HIGH SCHOOL,Madera,Madera,74,51,20
MADISON PARK ACADEMY,Oakland,Alameda,14,7,4
MADISON PARK ACADEMY,Oakland,Alameda,,,
MAGNOLIA HIGH SCHOOL,Anaheim,Orange,64,38,24
MAGNOLIA SCI ACADEMY-SANTA ANA,Santa Ana,Orange,15,8,3
MAGNOLIA SCIENCE ACADEMY 2,Van Nuys,Los Angeles,12,6,3
MAGNOLIA SCIENCE ACADEMY 3,Carson,Los Angeles,18,8,4
MAGNOLIA SCIENCE ACADEMY 4,Los Angeles,Los Angeles,21,5,
MAGNOLIA SCIENCE ACADEMY,Reseda,Los Angeles,32,21,6
MAKING WAVES ACADEMY,Richmond,Contra Costa,58,32,18
MALIBU HIGH SCHOOL,Malibu,Los Angeles,60,35,12
MAMMOTH HIGH SCHOOL,Mammoth Lakes,Mono,14,10,5
MANTECA HIGH SCHOOL,Manteca,San Joaquin,29,20,10
MANUAL ARTS SENIOR HIGH SCHOOL,Los Angeles,Los Angeles,129,53,33
MAPLE CONTINUATION HIGH SCHOOL,Lompoc,Santa Barbara,,,
MAR VISTA HIGH SCHOOL,Imperial Beach,San Diego,66,34,14
MARCO ANTONIO FIREBAUGH HS,Lynwood,Los Angeles,75,43,23
MARIA CARRILLO HIGH SCHOOL,Santa Rosa,Sonoma,94,55,28
MARICOPA HIGH SCHOOL,Maricopa,Kern,,,
MARIN SCHOOL OF ARTS & TECH,San Francisco,San Francisco,,,
MARINA HIGH SCHOOL,Huntington Beach,Orange,147,102,74
MARINA HIGH SCHOOL,Marina,Monterey,30,21,11
MARIPOSA COUNTY HIGH SCHOOL,Mariposa,Mariposa,19,14,12
MARK KEPPEL HIGH SCHOOL,Alhambra,Los Angeles,255,174,106
MARK TWAIN HIGH SCHOOL,San Diego,San Diego,,,
MARTIN LUTHER KING HIGH SCHOOL,Riverside,Riverside,219,148,105
MARYSVILLE CHARTER ACAD ARTS,Marysville,Yuba,15,9,5
MARYSVILLE HIGH SCHOOL,Marysville,Yuba,21,13,5
MATH AND SCIENCE COLLEGE PREP,Los Angeles,Los Angeles,50,33,19
MATH SCIENCE TECHNOLOGY MAGNET,Los Angeles,Los Angeles,46,35,23
MATT GARCIA CAREER COLG ACDMY,Fairfield,Solano,,,
MATTOLE TRIPLE JUNCTION HS,Petrolia,Humboldt,,,
MAXWELL HIGH SCHOOL,Maxwell,Colusa,,,
MAYFAIR HIGH SCHOOL,Lakewood,Los Angeles,66,39,24
MAYWOOD ACADEMY HIGH SCHOOL,Maywood,Los Angeles,32,16,8
MAYWOOD CTR ENRICHED STUDIES,Maywood,Los Angeles,25,9,4
MCCLYMONDS HIGH SCHOOL,Oakland,Alameda,29,6,5
MCFARLAND HIGH SCHOOL,Mcfarland,Kern,31,23,11
MCKINLEYVILLE HIGH SCHOOL,Mckinleyville,Humboldt,18,10,4
MCLANE HIGH SCHOOL,Fresno,Fresno,21,16,5
MENDOCINO HIGH SCHOOL,Mendocino,Mendocino,14,9,5
MENDOTA HIGH SCHOOL,Mendota,Fresno,24,19,7
MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo,221,129,42
MERCED HIGH SCHOOL,Merced,Merced,67,54,28
MERRILL F WEST HIGH SCHOOL,Tracy,San Joaquin,74,47,16
MERVYN M DYMALLY HIGH SCHOOL,Los Angeles,Los Angeles,14,5,3
MESA VERDE HIGH SCHOOL,Citrus Heights,Sacramento,21,11,4
MET SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,8,,
METHOD SCHOOLS,Murrieta,Riverside,,,
METWEST HIGH SCHOOL,Oakland,Alameda,16,5,3
MIDDLE COLLEGE HIGH SCHOOL,Los Angeles,Los Angeles,42,21,12
MIDDLE COLLEGE HIGH SCHOOL,San Bernardino,San Bernardino,61,39,13
MIDDLE COLLEGE HIGH SCHOOL,San Pablo,Contra Costa,34,26,15
MIDDLE COLLEGE HIGH SCHOOL,Santa Ana,Orange,69,32,16
MIDDLE COLLEGE HIGH SCHOOL,Stockton,San Joaquin,47,35,22
MIDDLETOWN HIGH SCHOOL,Middletown,Lake,8,6,3
MIGUEL CONTRERAS LRNG COMPLEX,Los Angeles,Los Angeles,37,27,14
MILLENNIUM CHARTER HIGH SCHOOL,Salinas,Monterey,,,
MILLENNIUM HIGH SCHOOL,Piedmont,Alameda,,,
MILLENNIUM HIGH SCHOOL,Tracy,San Joaquin,26,17,11
MILLS HIGH SCHOOL,Millbrae,San Mateo,163,122,80
MILPITAS HIGH SCHOOL,Milpitas,Santa Clara,261,157,94
MINARETS CHARTER HIGH SCHOOL,Oneals,Madera,6,4,
MINARETS HIGH SCHOOL,Oneals,Madera,,,
MIRA COSTA HIGH SCHOOL,Manhattan Beach,Los Angeles,271,173,86
MIRA LOMA HIGH SCHOOL,Sacramento,Sacramento,146,104,49
MIRA MESA HIGH SCHOOL,San Diego,San Diego,165,95,55
MIRA MONTE HIGH SCHOOL,Bakersfield,Kern,40,29,13
MIRAMONTE HIGH SCHOOL,Orinda,Contra Costa,181,125,47
MIRUS SECONDARY SCHOOL,Hesperia,San Bernardino,,,
MISSION BAY HIGH,San Diego,San Diego,58,40,19
MISSION EARLY COLLEGE HIGH SCH,Santa Clara,Santa Clara,9,4,3
MISSION HIGH SCHOOL,San Fernando,Los Angeles,,,
MISSION HILLS HIGH SCHOOL,San Marcos,San Diego,138,88,53
MISSION OAK HIGH SCHOOL,Tulare,Tulare,44,30,12
MISSION SAN JOSE HIGH SCHOOL,Fremont,Alameda,422,366,183
MISSION SENIOR HIGH SCHOOL,San Francisco,San Francisco,112,69,44
MISSION VIEJO HIGH SCHOOL,Mission Viejo,Orange,151,93,52
MISSION VISTA HIGH SCHOOL,Oceanside,San Diego,132,92,46
MIT ACADEMY,Vallejo,Solano,32,20,13
MODESTO HIGH SCHOOL,Modesto,Stanislaus,112,70,42
MOJAVE HIGH SCHOOL,Mojave,Kern,,,
MONACHE HIGH SCHOOL,Porterville,Tulare,48,31,14
MONARCH SCHOOL,San Diego,San Diego,,,
MONROVIA HIGH SCHOOL,Monrovia,Los Angeles,72,42,23
MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara,449,335,163
MONTCLAIR HIGH SCHOOL,Montclair,San Bernardino,187,121,54
MONTE VISTA HIGH SCHOOL,Danville,Contra Costa,251,146,82
MONTE VISTA HIGH SCHOOL,Spring Valley,San Diego,42,35,16
MONTE VISTA INDEPENDENT STUDY,Costa Mesa,Orange,,,
MONTEBELLO HIGH SCHOOL,Montebello,Los Angeles,97,56,29
MONTEREY COAST PREPARATORY,Scotts Valley,Santa Cruz,,,
MONTEREY HIGH SCHOOL,Burbank,Los Angeles,,,
MONTEREY HIGH SCHOOL,Monterey,Monterey,98,54,35
MONTEREY TRAIL HIGH SCHOOL,Elk Grove,Sacramento,122,67,34
MONTGOMERY HIGH SCHOOL,San Diego,San Diego,61,34,20
MONTGOMERY HIGH SCHOOL,Santa Rosa,Sonoma,44,22,8
MOORPARK HIGH SCHOOL,Moorpark,Ventura,90,55,26
MORENO VALLEY HIGH SCHOOL,Moreno Valley,Riverside,126,80,51
MORNINGSIDE HIGH SCHOOL,Inglewood,Los Angeles,37,16,9
MORRO BAY HIGH SCHOOL,Morro Bay,San Luis Obispo,38,21,13
MORSE HIGH SCHOOL,San Diego,San Diego,85,52,34
MOTIVATED YOUTH ACADEMY,San Marcos,San Diego,,,
MOUNT DIABLO HIGH SCHOOL,Concord,Contra Costa,40,30,16
MOUNT EDEN HIGH SCHOOL,Hayward,Alameda,108,77,48
MOUNT MIGUEL HIGH SCHOOL,Spring Valley,San Diego,39,23,7
MOUNT PLEASANT HIGH SCHOOL,San Jose,Santa Clara,62,39,18
MOUNT SHASTA HIGH SCHOOL,Mount Shasta,Siskiyou,10,9,7
MOUNT WHITNEY HIGH SCHOOL,Visalia,Tulare,29,18,11
MOUNTAIN EMPIRE HIGH SCHOOL,Pine Valley,San Diego,9,6,3
MOUNTAIN HOUSE HIGH SCHOOL,Mountain House,San Joaquin,89,64,40
MOUNTAIN OAKS SCHOOL,San Andreas,Calaveras,,,
MOUNTAIN PARK SCHOOL,Monrovia,Los Angeles,,,
MOUNTAIN VALLEY ACADEMY,Ramona,San Diego,,,
MOUNTAIN VIEW HIGH SCHOOL,El Monte,Los Angeles,56,36,16
MOUNTAIN VIEW HIGH SCHOOL,Mojave,Kern,,,
MOUNTAIN VIEW HIGH SCHOOL,Mountain View,Santa Clara,252,156,62
MT CARMEL HIGH SCHOOL,San Diego,San Diego,132,84,50
MT EVEREST ACADEMY,San Diego,San Diego,9,9,4
MT SAN JACINTO HIGH SCHOOL,Cathedral City,Riverside,,,
MURRIETA MESA HIGH SCHOOL,Murrieta,Riverside,77,50,31
MURRIETA VALLEY HIGH SCHOOL,Murrieta,Riverside,116,68,36
N MONTEREY CO CTR INDPNDNT STU,Salinas,Monterey,,,
NAPA HIGH SCHOOL,Napa,Napa,64,44,31
NARBONNE HIGH SCHOOL,Harbor City,Los Angeles,98,61,29
NATIONAL UNIVERSITY ACADEMY,San Diego,San Diego,,,
NATOMAS CHARTER SCHOOL PERFORM,Sacramento,Sacramento,57,34,18
NATOMAS HIGH SCHOOL,Sacramento,Sacramento,28,15,7
NATOMAS PACIFIC PATHWAYS PREP,Sacramento,Sacramento,53,25,22
NAVA COLLEGE PREP ACADEMY,Los Angeles,Los Angeles,43,25,11
NEA COMMUNITY LEARNING CENTER,Alameda,Alameda,8,,
NEEDLES HIGH SCHOOL,Needles,San Bernardino,,,
NEVADA UNION HIGH SCHOOL,Grass Valley,Nevada,44,25,16
NEW DAY ACADEMY,Alturas,Modoc,,,
NEW DESIGNS CHARTER SCH WATTS,Los Angeles,Los Angeles,17,,
NEW DESIGNS CHARTER SCHOOL,Los Angeles,Los Angeles,48,30,14
NEW MILLENNIUM SECONDARY SCHL,Gardena,Los Angeles,5,,
NEW OPEN WORLD ACADEMY,Los Angeles,Los Angeles,36,12,6
NEW TECHNOLOGY HIGH SCHOOL,Napa,Napa,17,15,9
NEW VALLEY HIGH SCHOOL,Santa Clara,Santa Clara,,,
NEW VILLAGE GIRLS ACADEMY,Los Angeles,Los Angeles,8,3,
NEW WEST CHARTER SCHOOL,Los Angeles,Los Angeles,47,35,24
NEWARK MEMORIAL HIGH SCHOOL,Newark,Alameda,62,30,18
NEWBURY PARK HIGH SCHOOL,Newbury Park,Ventura,177,110,49
NEWPORT HARBOR HIGH SCHOOL,Newport Beach,Orange,148,83,42
NIPOMO HIGH SCHOOL,Nipomo,San Luis Obispo,18,14,8
NOGALES HIGH SCHOOL,La Puente,Los Angeles,87,53,26
NORCO HIGH SCHOOL,Norco,Riverside,79,41,28
NORDHOFF HIGH SCHOOL,Ojai,Ventura,27,14,12
NORTE VISTA SENIOR HIGH SCHOOL,Riverside,Riverside,129,65,40
NORTH HIGH SCHOOL,Bakersfield,Kern,29,20,10
NORTH HIGH SCHOOL,Torrance,Los Angeles,119,70,40
NORTH HOLLYWOOD HIGH SCHOOL,North Hollywood,Los Angeles,177,118,63
NORTH MONTEREY COUNTY HIGH SCH,Castroville,Monterey,56,37,19
NORTH POINT ACADEMY,Grass Valley,Nevada,,,
NORTH SALINAS HIGH SCHOOL,Salinas,Monterey,60,40,15
NORTH TAHOE HIGH SCHOOL,Tahoe City,Placer,24,12,6
NORTH VALLEY MILITARY INST,Sun Valley,Los Angeles,16,4,
NORTH VALLEY OCCUPATIONAL CTR,Mission Hills,Los Angeles,,,
NORTHCOAST PREP & PERF ARTS A,Arcata,Humboldt,17,8,
NORTHERN UNITED HUMBOLDT CHTR,Eureka,Humboldt,,,
NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa,166,113,61
NORTHRIDGE ACADEMY HIGH SCHOOL,Northridge,Los Angeles,45,28,8
NORTHVIEW HIGH SCHOOL,Covina,Los Angeles,81,47,20
NORTHWOOD HIGH SCHOOL,Irvine,Orange,377,271,152
NORWALK HIGH SCHOOL,Norwalk,Los Angeles,94,46,20
NOVA ACADEMY EARLY COLLEGE HS,Santa Ana,Orange,35,22,10
NOVA ACADEMY-COACHELLA,Coachella,Riverside,10,9,4
NOVA INDEPENDENT STUDY,Novato,Marin,,,
NOVATO HIGH SCHOOL,Novato,Marin,87,44,20
NUVIEW BRIDGE EARLY COLLEGE HS,Nuevo,Riverside,82,49,30
OAK GROVE HIGH SCHOOL,San Jose,Santa Clara,75,50,27
OAK HILLS HIGH SCHOOL,Oak Hills,San Bernardino,101,54,21
OAK KNOLL ALTERNATIVE SCHOOL,Glendora,Los Angeles,,,
OAK PARK HIGH SCHOOL,Oak Park,Ventura,190,116,52
OAK PARK INDEPENDENT SCH,Oak Park,Ventura,5,5,3
OAK RIDGE HIGH SCHOOL,El Dorado Hills,El Dorado,158,82,38
OAKDALE HIGH SCHOOL,Oakdale,Stanislaus,36,29,12
OAKLAND CHARTER HIGH SCHOOL,Oakland,Alameda,71,38,22
OAKLAND EMILIANO ZAPATA STREET ACAD,Oakland,Alameda,,,
OAKLAND HIGH SCHOOL,Oakland,Alameda,100,58,42
OAKLAND INTERNATIONAL HIGH SCH,Oakland,Alameda,15,7,4
OAKLAND MILITARY INST COL PREP,Oakland,Alameda,42,22,17
OAKLAND SCHOOL FOR THE ARTS,Oakland,Alameda,54,34,14
OAKLAND TECHNICAL HIGH SCHOOL,Oakland,Alameda,231,160,73
OAKLAND UNITY HIGH SCHOOL,Oakland,Alameda,24,21,11
OAKMONT HIGH SCHOOL,Roseville,Placer,101,57,35
OASIS HIGH SCHOOL,Fallbrook,San Diego,,,
OCEAN GROVE CHARTER SCHOOL,Placerville,El Dorado,,,
OCEAN VIEW HIGH SCHOOL,Huntington Beach,Orange,59,29,16
OCEANA HIGH SCHOOL,Pacifica,San Mateo,36,17,7
OCEANSIDE HIGH SCHOOL,Oceanside,San Diego,64,43,18
OFARRELL CHARTER SCHOOL,San Diego,San Diego,76,42,21
OLIVE GROVE CHARTER ORCUTT,Santa Maria,Santa Barbara,,,
OLYMPIAN HIGH SCHOOL,Chula Vista,San Diego,195,127,90
ONTARIO HIGH SCHOOL,Ontario,San Bernardino,96,59,27
OPPORTUNITIES FOR LEARNING DUARTE,Duarte,Los Angeles,,,
OPPORTUNITIES LRN-BALDWIN PARK,Irwindale,Los Angeles,26,16,3
OPPORTUNITIES LRN-WILLIAM HART,Valencia,Los Angeles,,,
OPPORTUNITIES LRNG-BALDWIN II,Irwindale,Los Angeles,,,
OPPORTUNITIES LRNG-CAPISTRANO,San Juan Capistrano,Orange,,,
OPTIONS FOR YOUTH - ACTON,Fontana,San Bernardino,7,,
OPTIONS FOR YOUTH - SAN BERNAR,San Bernardino,San Bernardino,,,
OPTIONS FOR YOUTH SAN GABRIEL,San Gabriel,Los Angeles,11,,
OPTIONS FOR YOUTH SAN JUAN,Carmichael,Sacramento,,,
OPTIONS FOR YOUTH VICTOR VALLY,Victorville,San Bernardino,5,,
OPTIONS SECONDARY SCHOOL,San Diego,San Diego,,,
ORANGE COUNTY HS OF THE ARTS,Santa Ana,Orange,196,127,53
ORANGE COVE HIGH SCHOOL,Orange Cove,Fresno,24,21,9
ORANGE GLEN HIGH SCHOOL,Escondido,San Diego,68,41,29
ORANGE HIGH SCHOOL,Orange,Orange,58,35,15
ORANGE VISTA HIGH SCHOOL,Perris,Riverside,119,56,24
ORCHARD VIEW SCHOOL,Sebastopol,Sonoma,,,
ORCUTT ACADEMY HIGH SCHOOL,Orcutt,Santa Barbara,43,31,19
ORESTIMBA HIGH SCHOOL,Newman,Stanislaus,22,11,6
ORLAND HIGH SCHOOL,Orland,Glenn,21,13,8
OROSI HIGH SCHOOL,Orosi,Tulare,79,46,23
OROVILLE HIGH SCHOOL,Oroville,Butte,18,10,3
ORTHOPAEDIC HOSP MED MAGNET HS,Los Angeles,Los Angeles,81,50,32
OSCAR DE LA HOYA ANIMO CHARTER,Los Angeles,Los Angeles,55,36,16
OTAY RANCH HIGH SCHOOL,Chula Vista,San Diego,156,96,63
OXFORD ACADEMY,Cypress,Orange,162,131,76
OXNARD HIGH SCHOOL,Oxnard,Ventura,139,80,29
PACHECO HIGH SCHOOL,Los Banos,Merced,56,38,17
PACIFIC COAST ACADEMY,Poway,San Diego,,,
PACIFIC COAST CHARTER SCHOOL,Watsonville,Santa Cruz,,,
PACIFIC COAST HIGH SCHOOL,Tustin,Orange,6,3,
PACIFIC COLLEGIATE SCHOOL,Santa Cruz,Santa Cruz,57,39,20
PACIFIC CREST ACADEMY,El Dorado,El Dorado,,,
PACIFIC GROVE HIGH SCHOOL,Pacific Grove,Monterey,39,27,16
PACIFIC HIGH SCHOOL,San Bernardino,San Bernardino,46,28,7
PACIFIC HIGH SCHOOL,San Leandro,Alameda,,,
PACIFIC LAW ACADEMY,Stockton,San Joaquin,16,10,4
PACIFIC VIEW CHARTER SCHOOL,Oceanside,San Diego,,,
PACIFICA HIGH SCHOOL,Garden Grove,Orange,113,91,54
PACIFICA HIGH SCHOOL,Oxnard,Ventura,80,38,13
PAJARO VALLEY HS,Watsonville,Santa Cruz,53,35,10
PALISADES CHARTER HIGH SCHOOL,Pacific Palisade,Los Angeles,323,209,103
PALM DESERT HIGH SCHOOL,Palm Desert,Riverside,80,46,23
PALM SPRINGS HIGH SCHOOL,Palm Springs,Riverside,94,52,30
PALMDALE AEROSPACE ACADEMY,Palmdale,Los Angeles,54,31,16
PALMDALE HIGH SCHOOL,Palmdale,Los Angeles,70,33,19
PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,326,193,59
PALO VERDE HIGH SCHOOL,Blythe,Riverside,6,5,
PALOMA VALLEY HIGH SCHOOL,Menifee,Riverside,110,56,32
PALOMARES ACADEMY HEALTH SCIENCE,Pomona,Los Angeles,11,7,3
PALOS VERDES HIGH SCHOOL,Palos Verdes Estate,Los Angeles,201,131,52
PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles,378,258,132
PANORAMA HIGH SCHOOL,Panorama City,Los Angeles,79,26,7
PARADISE HIGH SCHOOL,Paradise,Butte,24,19,5
PARAMOUNT HIGH SCHOOL,Paramount,Los Angeles,197,116,59
PARKVIEW SCHOOL,Placentia,Orange,,,
PARLIER HIGH SCHOOL,Parlier,Fresno,46,26,7
PASADENA HIGH SCHOOL,Pasadena,Los Angeles,126,74,34
PASO ROBLES HIGH SCHOOL,Paso Robles,San Luis Obispo,73,44,29
PATHWAYS ACADEMY CHARTER,San Marcos,San Diego,,,
PATRICK HENRY EVENING HIGH,San Diego,San Diego,,,
PATRICK HENRY HIGH SCHOOL,San Diego,San Diego,165,110,47
PATRIOT HIGH SCHOOL,Riverside,Riverside,84,60,40
PATTERSON HIGH SCHOOL,Patterson,Stanislaus,59,38,22
PERFORMING ARTS COMMUNITY SCHO,Los Angeles,Los Angeles,43,12,5
PERRIS HIGH SCHOOL,Perris,Riverside,100,57,26
PESCADERO HIGH SCHOOL,Pescadero,San Mateo,,,
PETALUMA HIGH SCHOOL,Petaluma,Sonoma,84,47,25
PHILLIP & SALA BURTON ACAD HS,San Francisco,San Francisco,104,66,37
PHILLIP J PATINO SCH ENTREPREN,Fresno,Fresno,11,6,
PHINEAS BANNING HIGH SCHOOL,Wilmington,Los Angeles,64,44,18
PHOENIX CHARTER ACADEMY,Redding,Shasta,,,
PIEDMONT HIGH SCHOOL,Piedmont,Alameda,128,85,37
PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,183,115,68
PIERCE HIGH SCHOOL,Arbuckle,Colusa,8,5,
PINER HIGH SCHOOL,Santa Rosa,Sonoma,42,28,10
PINOLE VALLEY HIGH SCHOOL,Pinole,Contra Costa,57,27,18
PIONEER HIGH SCHOOL,Grass Valley,Nevada,,,
PIONEER HIGH SCHOOL,San Jose,Santa Clara,129,87,38
PIONEER HIGH SCHOOL,Whittier,Los Angeles,61,41,25
PIONEER HIGH SCHOOL,Woodland,Yolo,85,59,27
PIONEER VALLEY HIGH SCHOOL,Santa Maria,Santa Barbara,86,51,20
PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa,110,68,36
PIVOT CHARTER SCHL-SAN DIEGO,San Marcos,San Diego,,,
PIVOT CHARTER SCHOOL RIVERSIDE,San Marcos,San Diego,,,
PLACER HIGH SCHOOL,Auburn,Placer,38,25,15
PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento,134,87,53
PLEASANT VALLEY SR HIGH SCHOOL,Chico,Butte,43,27,19
POINT ARENA HIGH SCHOOL,Point Arena,Mendocino,,,
POINT LOMA HIGH SCHOOL,San Diego,San Diego,175,117,60
POMONA HIGH SCHOOL (CAL-SAFE),Pomona,Los Angeles,,,
POMONA HIGH SCHOOL,Pomona,Los Angeles,69,34,15
PONDEROSA HIGH SCHOOL,Shingle Springs,El Dorado,70,43,21
PORT OF LOS ANGELES HS,San Pedro,Los Angeles,44,20,10
PORTERVILLE HIGH SCHOOL,Porterville,Tulare,36,24,10
PORTOLA HIGH SCHOOL,Portola,Plumas,,,
POTTER VALLEY HIGH SCHOOL,Potter Valley,Mendocino,,,
POWAY HIGH SCHOOL,Poway,San Diego,134,78,40
PREUSS SCHOOL UCSD,La Jolla,San Diego,103,60,40
PROSPECT HIGH SCHOOL,Saratoga,Santa Clara,102,69,31
PUBLIC SAFETY ACADEMY,San Bernardino,San Bernardino,7,,
PUBLIC SAFETY ACADEMY,Fairfield,Solano,17,13,7
PUBLIC SERVICE COMMUNITY SCHOO,Los Angeles,Los Angeles,43,23,5
PUC CALS MIDDLE AND EARLY COLL,Los Angeles,Los Angeles,20,11,5
PUC COMMUNITY CHARTER EARLY COLL HS,Sylmar,Los Angeles,45,33,18
PUC EARLY COLG ACADEMY LEADERS,Los Angeles,Los Angeles,19,13,5
PUC LAKEVIEW CHARTER HIGH SCHL,San Fernando,Los Angeles,63,40,20
PUC TRIUMPH CHARTER ACADEMY HS,Sylmar,Los Angeles,43,18,5
QUARTZ HILL HIGH SCHOOL,Quartz Hill,Los Angeles,124,89,53
QUINCY SENIOR HIGH SCHOOL,Quincy,Plumas,,,
RAMON C CORTINES SCH OF VISUAL,Los Angeles,Los Angeles,146,88,44
RAMONA HIGH SCHOOL,Ramona,San Diego,46,26,18
RAMONA HIGH SCHOOL,Riverside,Riverside,114,82,36
RANCHO ALAMITOS HIGH SCHOOL,Garden Grove,Orange,84,54,31
RANCHO BERNARDO HIGH SCHOOL,San Diego,San Diego,192,125,64
RANCHO BUENA VISTA HIGH SCHOOL,Vista,San Diego,71,43,26
