School,City,Region,Applied,Admitted,Enrolled
BARSTOW HIGH SCHOOL,Barstow,San Bernardino,23,16,9
BASSETT HIGH SCHOOL,La Puente,Los Angeles,45,27,19
BAY AREA TECHNOLOGY-BAYTECH,Oakland,Alameda,12,4,4
BAYFRONT CHARTER HIGH SCHOOL,Chula Vista,San Diego,25,10,5
BE TECH VOCATIONAL ACADEMY,Manteca,San Joaquin,,,
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,66,38,19
BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,15,9,7
BEAUMONT HIGH SCHOOL,Beaumont,Riverside,114,81,38
BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,120,78,40
BELL HIGH SCHOOL,Bell,Los Angeles,184,107,50
BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,81,47,27
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,50,34,17
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,60,31,21
BENICIA HIGH SCHOOL,Benicia,Solano,91,61,32
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,55,39,14
BERKELEY HIGH SCHOOL,Berkeley,Alameda,401,302,153
BERT CORONA CHARTER HIGH SCHL,Pacoima,Los Angeles,11,4,3
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,174,114,49
BIG BEAR HIGH SCHOOL,Big Bear City,San Bernardino,20,14,4
BIG VALLEY HIGH SCHOOL,Bieber,Lassen,,,
BIGGS HIGH SCHOOL,Biggs,Butte,,,
BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,190,102,41
BISHOP UNION HIGH SCHOOL,Bishop,Inyo,28,11,5
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,44,26,12
BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,94,43,16
BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,185,107,50
BONITA HIGH SCHOOL,La Verne,Los Angeles,125,76,42
BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,125,83,55
BONSALL HIGH SCHOOL,Bonsall,San Diego,17,11,4
BORREGO SPRINGS HIGH SCHOOL,Borrego Springs,San Diego,6,6,
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,107,80,47
BRAWLEY UNION HIGH SCHOOL,Brawley,Imperial,37,21,11
BREA OLINDA HIGH SCHOOL,Brea,Orange,137,88,46
BRET HARTE UNION HIGH SCHOOL,Angels Camp,Calaveras,16,8,4
BUCKINGHAM COLLEGIATE CHARTER,Vacaville,Solano,12,6,
BUENA HIGH SCHOOL,Ventura,Ventura,56,30,11
BUENA PARK HIGH SCHOOL,Buena Park,Orange,81,43,20
BUENA VISTA VIRTUAL ACADEMY,Yorba Linda,Orange,,,
BUHACH COLONY HIGH SCHOOL,Atwater,Merced,74,53,28
BULLARD HIGH SCHOOL,Fresno,Fresno,41,26,13
BURBANK ADULT SCHOOL,Burbank,Los Angeles,,,
BURBANK INDEPENDENT LEARNING,Burbank,Los Angeles,,,
BURBANK SENIOR HIGH SCHOOL,Burbank,Los Angeles,161,95,60
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,167,107,51
C K MCCLATCHY HIGH SCHOOL,Sacramento,Sacramento,115,75,45
CA CONNECTIONS ACADEMY CAPISTRANO,San Juan Capistrano,Orange,49,39,22
CA CONNECTIONS ACADEMY CNTRL V,Ripon,San Joaquin,,,
CA PCFC CHRTR SCHLS SD CALPAC,Newport Beach,Orange,,,
CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,35,18,9
CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,35,19,8
CABRILLO POINT ACADEMY,El Cajon,San Diego,,,
CAJON HIGH SCHOOL,San Bernardino,San Bernardino,128,69,35
CAL BURKE HIGH SCHOOL,Panorama City,Los Angeles,,,
CAL PAC SCHOOLS-CENTRAL CAL,Newport Beach,Orange,,,
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,208,138,76
CALAVERAS HIGH SCHOOL,San Andreas,Calaveras,23,17,9
CALERO HIGH SCHOOL,San Jose,Santa Clara,10,,
CALEXICO HIGH SCHOOL,Calexico,Imperial,83,65,50
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,143,105,55
CALIFORNIA CITY HIGH SCHOOL,California City,Kern,9,5,
CALIFORNIA CONNECTIONS ACD RPN,Ripon,San Joaquin,14,9,3
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,277,185,97
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,136,80,34
CALIFORNIA MILITARY INSTITUTE,Perris,Riverside,28,14,8
CALIFORNIA PACIFIC CHARTR SAN DIEG,Costa Mesa,Orange,,,
CALIFORNIA PREP SUTTER 8-12,Ontario,San Bernardino,,,
CALIFORNIA PREPARATORY ACADEMY,San Juan Capistrano,Orange,10,4,
CALIFORNIA STEAM SAN BERNARDINO,Ontario,San Bernardino,,,
CALIFORNIA STEAM SONOMA II,Guerneville,Sonoma,,,
CALIFORNIA VIRT ACDMY-MARICOPA,Simi Valley,Ventura,,,
CALIFORNIA VIRTUAL ACAD SAN DIEGO,Simi Valley,Ventura,11,8,5
CALIFORNIA VIRTUAL ACAD SAN MATEO,Simi Valley,Ventura,10,3,
CALIFORNIA VIRTUAL ACAD SUTTER,Simi Valley,Ventura,,,
CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,13,10,6
CALIFORNIA VIRTUAL ACD-LA HIGH,Simi Valley,Ventura,,,
CALIFORNIA VIRTUAL AT MARICOPA,Simi Valley,Ventura,,,
CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,6,4,3
CALIPATRIA HIGH SCHOOL,Calipatria,Imperial,6,4,3
CALISTOGA HIGH SCHOOL,Calistoga,Napa,9,6,4
CAMINO NUEVO HIGH SCHOOL NO 2,Los Angeles,Los Angeles,53,25,14
CAMINO NUEVO HIGH SCHOOL,Los Angeles,Los Angeles,47,20,11
CAMPO HIGH SCHOOL,Pine Valley,San Diego,,,
CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,177,125,59
CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles,49,25,9
CANYON CREST ACADEMY,San Diego,San Diego,469,357,149
CANYON HIGH SCHOOL,Anaheim,Orange,210,143,97
CANYON HIGH SCHOOL,Canyon Country,Los Angeles,80,45,27
CANYON HILLS HIGH SCHOOL,San Diego,San Diego,105,70,38
CANYON SPRINGS HIGH SCHOOL,Moreno Valley,Riverside,97,49,34
CAPISTRANO VALLEY HIGH SCHOOL,Mission Viejo,Orange,144,93,49
CAPITAL CITY SCHOOL,Sacramento,Sacramento,,,
CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,71,43,22
CARLMONT HIGH SCHOOL,Belmont,San Mateo,278,163,87
CARLSBAD HIGH SCHOOL,Carlsbad,San Diego,137,85,42
CARLSBAD SEASIDE ACADEMY,Carlsbad,San Diego,5,3,
CARLSON HOME/HOSPITAL SCHOOL,North Hollywood,Los Angeles,,,
CARMEL HIGH SCHOOL,Carmel,Monterey,71,44,22
CARPINTERIA HIGH SCHOOL,Carpinteria,Santa Barbara,37,20,11
CARSON HIGH SCHOOL,Carson,Los Angeles,60,29,17
CARUTHERS HIGH SCHOOL,Caruthers,Fresno,18,10,5
CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,72,39,22
CASA ROBLE FUNDAMENTAL HS,Orangevale,Sacramento,17,11,8
CASTLE PARK HIGH SCHOOL,Chula Vista,San Diego,55,40,19
CASTLEMONT HIGH SCHOOL,Oakland,Alameda,22,5,3
CASTRO VALLEY EVENING HIGH SCHOOL,Castro Valley,Alameda,,,
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,246,169,102
CATCH PREP CHARTER HIGH,Los Angeles,Los Angeles,15,10,
CATHEDRAL CITY HIGH SCHOOL,Cathedral City,Riverside,69,41,22
CEIBA COLLEGE PREPARATORY ACAD,Watsonville,Santa Cruz,22,10,6
CENTENNIAL HIGH SCHOOL,Bakersfield,Kern,54,31,15
CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,53,21,9
CENTENNIAL HIGH SCHOOL,Corona,Riverside,231,145,72
CENTER HIGH SCHOOL,Antelope,Sacramento,33,19,8
CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,52,27,11
CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,15,8,5
CENTRAL EAST HIGH SCHOOL,Fresno,Fresno,68,47,23
CENTRAL HIGH SCHOOL,Barstow,San Bernardino,,,
CENTRAL UNION HIGH SCHOOL,El Centro,Imperial,55,31,19
CENTRAL VALLEY HIGH SCHOOL,Shasta Lake,Shasta,,,
CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,57,44,25
