Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
184,Mouhamed Gueye,PF,21,ATL,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,gueyemo02
185,Rui Hachimura,PF,25,LAL,50,21,25.3,4.9,9.3,.525,1.3,3.2,.415,3.6,6.2,.581,.595,1.4,1.9,.711,0.8,2.9,3.7,1.0,0.7,0.3,0.7,1.5,12.5,hachiru01
186,Ashton Hagans,PG,24,POR,11,1,15.9,1.4,3.3,.417,0.2,0.8,.222,1.2,2.5,.481,.444,0.6,0.8,.778,0.5,1.5,2.0,2.7,0.6,0.5,1.6,2.3,3.5,haganas01
187,Tyrese Haliburton,PG,23,IND,50,49,31.9,7.5,15.6,.481,3.0,7.8,.379,4.5,7.7,.584,.576,2.8,3.3,.850,0.6,3.2,3.8,11.3,1.1,0.7,2.3,0.9,20.8,halibty01
188,R.J. Hampton,PG,22,MIA,8,2,9.5,0.5,1.8,.286,0.1,1.0,.125,0.4,0.8,.500,.321,0.1,0.3,.500,0.3,0.5,0.8,1.0,0.0,0.0,0.4,1.0,1.3,hamptrj01
189,Tim Hardaway Jr.,SF,31,DAL,59,10,28.8,5.6,13.7,.408,3.0,8.3,.359,2.6,5.4,.484,.517,2.1,2.4,.875,0.3,3.2,3.5,1.7,0.5,0.1,1.0,1.5,16.3,hardati02
190,James Harden,PG,34,LAC,56,56,34.6,5.2,11.6,.447,2.8,6.8,.408,2.4,4.7,.502,.567,4.6,5.2,.879,0.4,4.6,5.1,8.3,1.1,0.9,2.6,1.9,17.7,hardeja01
191,Jaden Hardy,SG,21,DAL,55,6,14.6,2.9,7.1,.405,1.3,3.5,.365,1.6,3.6,.444,.495,0.7,1.0,.727,0.3,1.6,1.8,1.6,0.3,0.1,0.7,1.1,7.7,hardyja02
192,Ron Harper Jr.,PF,23,TOR,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,harpero02
193,Gary Harris,SG,29,ORL,39,12,22.9,2.5,5.5,.458,1.4,3.8,.381,1.1,1.8,.623,.588,0.7,0.9,.757,0.5,1.2,1.7,1.7,0.9,0.3,0.5,1.7,7.2,harriga01
194,Joe Harris,SG,32,DET,16,0,10.6,0.9,2.4,.359,0.6,1.9,.333,0.3,0.6,.444,.487,0.1,0.1,.500,0.2,0.6,0.8,0.6,0.2,0.1,0.3,1.2,2.4,harrijo01
195,Kevon Harris,SG,26,ORL,2,0,3.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.5,2.0,harrike01
196,Tobias Harris,PF,31,PHI,56,56,33.9,6.7,13.5,.496,1.3,3.5,.354,5.5,10.0,.546,.542,2.8,3.1,.892,1.1,5.1,6.1,3.2,1.0,0.6,1.4,1.7,17.5,harrito02
197,Shaquille Harrison,SG,30,MEM,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.7,harrish01
198,Josh Hart,SF,28,NYK,61,22,31.4,3.3,7.9,.424,1.1,3.3,.328,2.3,4.6,.493,.493,1.0,1.3,.763,1.4,6.2,7.6,3.6,0.9,0.3,1.3,1.9,8.8,hartjo01
199,Isaiah Hartenstein,C,25,NYK,56,30,25.1,2.8,4.6,.604,0.0,0.1,.333,2.7,4.5,.607,.606,1.4,1.9,.725,3.3,5.1,8.4,2.2,1.1,1.1,1.2,2.8,6.9,harteis01
200,Sam Hauser,SF,26,BOS,60,6,21.0,2.7,6.1,.447,2.2,5.3,.416,0.5,0.8,.640,.626,0.3,0.3,.882,0.6,2.8,3.4,0.9,0.4,0.3,0.5,1.3,7.9,hausesa01
201,Jordan Hawkins,SG,21,NOP,55,10,19.5,3.0,7.8,.390,1.9,5.1,.370,1.1,2.7,.429,.512,1.2,1.4,.853,0.5,2.1,2.6,1.2,0.3,0.1,0.7,1.2,9.1,hawkijo01
202,Jaxson Hayes,C,23,LAL,53,3,11.3,1.6,2.3,.686,0.0,0.2,.000,1.6,2.1,.735,.686,0.5,0.9,.592,0.9,1.7,2.6,0.5,0.5,0.4,0.5,1.6,3.7,hayesja02
203,Killian Hayes,PG,22,DET,42,31,24.0,2.8,6.7,.413,0.5,1.8,.297,2.3,5.0,.455,.452,0.8,1.2,.660,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8,6.9,hayeski01
204,Gordon Hayward,SF,33,TOT,33,25,27.8,4.5,9.9,.454,0.7,1.9,.365,3.8,8.0,.475,.489,2.1,2.7,.764,0.9,3.4,4.3,3.7,0.9,0.4,1.6,1.5,11.8,haywago01
204,Gordon Hayward,SF,33,CHO,25,25,31.9,5.6,11.9,.468,0.9,2.4,.361,4.7,9.4,.496,.505,2.5,3.2,.765,1.0,3.7,4.7,4.6,1.1,0.5,2.0,1.8,14.5,haywago01
204,Gordon Hayward,SF,33,OKC,8,0,15.0,1.3,3.9,.323,0.1,0.3,.500,1.1,3.6,.310,.339,0.8,1.0,.750,0.8,2.4,3.1,0.9,0.3,0.0,0.4,0.5,3.4,haywago01
205,Scoot Henderson,PG,19,POR,43,16,27.0,4.4,11.8,.375,1.2,3.9,.310,3.2,7.9,.408,.427,2.8,3.4,.818,0.9,2.1,3.0,4.7,0.6,0.2,3.0,3.0,12.9,hendesc01
206,Taylor Hendricks,PF,20,UTA,23,6,17.4,2.2,5.0,.440,1.0,3.0,.338,1.2,2.1,.583,.539,0.4,0.5,.818,1.2,2.8,4.0,0.6,0.6,0.6,0.7,1.7,5.8,hendrita01
207,Tyler Herro,SG,24,MIA,36,36,33.6,7.9,18.0,.437,3.3,8.1,.399,4.6,9.9,.468,.527,1.8,2.2,.835,0.5,4.8,5.3,4.4,0.8,0.1,2.1,1.4,20.8,herroty01
208,Buddy Hield,SF-SG,31,TOT,64,40,27.1,4.6,10.5,.440,2.8,7.1,.392,1.9,3.5,.538,.572,0.6,0.7,.857,0.6,2.6,3.3,3.1,0.9,0.5,1.3,2.1,12.6,hieldbu01
208,Buddy Hield,SF,31,IND,52,28,25.7,4.4,9.9,.443,2.6,6.9,.384,1.8,3.1,.575,.575,0.5,0.6,.848,0.7,2.6,3.2,2.7,0.8,0.6,1.2,2.0,12.0,hieldbu01
208,Buddy Hield,SG,31,PHI,12,12,33.0,5.7,13.2,.430,3.4,8.1,.423,2.3,5.1,.443,.560,0.7,0.8,.889,0.6,2.8,3.4,5.2,1.3,0.3,1.7,2.8,15.4,hieldbu01
209,Haywood Highsmith,PF,27,MIA,45,24,20.7,2.1,4.9,.432,1.1,3.0,.368,1.0,2.0,.528,.543,0.5,0.6,.808,0.9,2.0,2.8,1.0,0.9,0.6,0.6,2.0,5.8,highsha01
210,Nate Hinton,SG,24,HOU,11,0,5.3,0.9,1.8,.500,0.6,1.0,.636,0.3,0.8,.333,.675,0.4,0.5,.800,0.3,0.8,1.1,0.5,0.2,0.2,0.2,0.9,2.8,hintona01
