CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6075015500,California,San Francisco,3633,1577,2056,7.7,52.0,5.6,0.0,32.1,0.0,3077,63423.0,19384.0,67432.0,24125.0,19.2,0.0,48.7,16.9,30.4,0.0,3.9,14.1,7.6,37.1,22.7,3.9,14.7,25.7,1734,89.2,9.7,1.2,0.0,5.1
6075015600,California,San Francisco,3323,1648,1675,9.9,47.3,1.4,0.0,34.8,0.0,2270,85253.0,6667.0,59120.0,10809.0,15.3,23.3,57.0,13.1,20.5,5.5,3.9,34.5,7.3,30.5,10.8,6.9,10.0,28.3,1791,78.8,8.9,11.7,0.6,6.2
6075015700,California,San Francisco,8403,3961,4442,13.9,48.9,5.4,0.0,26.4,1.0,7310,88368.0,13908.0,41373.0,8824.0,9.7,2.2,51.9,18.0,24.7,1.6,3.9,26.4,7.1,32.3,14.4,13.7,6.2,29.6,4551,86.8,8.0,5.2,0.0,11.2
6075015801,California,San Francisco,3997,1843,2154,10.8,35.0,34.9,0.0,17.0,0.0,2994,71339.0,16654.0,40415.0,6666.0,21.4,44.8,52.0,20.4,17.5,7.9,2.2,29.3,4.4,39.2,14.9,9.0,3.1,26.2,2010,83.7,10.3,6.0,0.0,12.8
6075015802,California,San Francisco,3081,1664,1417,12.9,62.7,8.2,0.0,11.4,0.0,2478,81250.0,23616.0,67179.0,12596.0,9.9,5.8,67.7,7.7,19.3,0.4,4.8,27.3,3.0,45.9,4.8,14.4,4.6,31.4,2041,86.0,5.9,8.1,0.0,9.7
6075015900,California,San Francisco,4077,1940,2137,10.1,38.8,13.4,0.1,34.8,0.7,2856,44157.0,15497.0,37756.0,5464.0,18.1,5.2,50.2,17.9,23.1,1.3,7.6,23.0,2.8,43.0,14.2,11.0,6.0,33.5,2010,79.5,8.3,12.2,0.0,4.4
6075016000,California,San Francisco,2554,1377,1177,9.1,48.2,6.9,0.0,29.5,0.0,2064,56458.0,13197.0,60545.0,10717.0,12.5,0.0,70.9,12.2,15.4,0.7,0.8,26.0,7.9,35.6,13.2,4.8,12.6,31.4,1504,77.1,8.0,14.9,0.0,4.9
6075016100,California,San Francisco,5482,2486,2996,7.6,20.4,33.2,1.0,31.4,0.0,3953,22793.0,6165.0,29973.0,6770.0,31.8,54.5,29.6,21.8,34.6,1.3,12.6,30.8,2.5,35.2,11.4,12.4,7.8,30.0,2594,82.7,8.4,8.9,0.0,10.1
6075016200,California,San Francisco,2733,1663,1070,15.0,61.8,4.3,0.0,15.9,0.0,2329,69875.0,11680.0,65821.0,9278.0,9.3,0.0,62.0,19.1,14.7,3.0,1.2,21.7,1.3,42.0,17.3,14.5,3.1,31.4,2055,86.8,8.4,4.9,0.0,3.0
6075016300,California,San Francisco,4623,2914,1709,18.4,46.3,17.8,0.0,12.7,0.0,3383,86940.0,23442.0,66160.0,12109.0,16.4,65.2,56.6,22.9,15.5,1.3,3.7,18.2,5.7,43.1,5.7,20.2,7.1,31.9,3595,85.7,6.9,7.4,0.0,3.3
6075016400,California,San Francisco,4118,2130,1988,11.8,63.1,11.0,0.2,8.5,0.0,3420,86536.0,12975.0,53941.0,6008.0,12.8,15.5,61.1,12.9,17.2,3.8,5.1,19.4,5.0,41.7,13.1,13.1,7.7,31.2,3058,85.0,8.1,6.9,0.0,4.4
6075016500,California,San Francisco,5708,2491,3217,12.6,62.9,10.6,0.2,9.6,0.0,4746,82232.0,17501.0,47957.0,4594.0,11.9,0.0,60.0,16.8,20.4,1.2,1.5,32.1,5.0,33.2,16.5,7.4,5.9,30.5,3576,84.1,7.4,8.0,0.6,5.7
6075016600,California,San Francisco,5468,3084,2384,7.5,70.2,1.6,0.3,13.2,0.5,4851,103750.0,16767.0,55375.0,5289.0,13.4,0.0,63.8,11.1,17.9,3.7,3.5,27.1,3.9,38.1,9.6,14.2,7.1,34.5,4056,87.0,5.4,7.5,0.0,5.4
6075016700,California,San Francisco,4793,2778,2015,10.3,74.8,4.1,0.2,7.1,0.0,4128,130865.0,20988.0,86186.0,10398.0,8.8,0.0,74.4,5.3,15.4,2.4,2.5,27.4,6.5,34.2,8.9,12.6,10.4,34.0,3776,73.7,9.7,16.6,0.0,5.3
6075016801,California,San Francisco,3558,2214,1344,9.1,61.4,12.3,0.6,11.4,2.2,3033,94659.0,26293.0,56668.0,7311.0,9.9,0.0,69.6,8.6,19.0,1.2,1.7,19.3,2.9,39.1,13.7,13.4,11.5,31.8,2502,76.9,8.6,14.5,0.0,6.9
6075016802,California,San Francisco,3011,1847,1164,20.3,56.7,7.2,1.4,11.5,0.4,2557,76563.0,14035.0,64755.0,9684.0,13.1,16.0,63.3,12.4,15.8,1.4,7.0,18.0,7.3,43.3,15.5,10.3,5.6,31.4,2186,82.8,8.4,8.8,0.0,6.0
6075016900,California,San Francisco,2987,1946,1041,12.5,70.3,4.0,0.0,10.3,0.0,2585,101371.0,13991.0,72699.0,8197.0,7.8,0.0,74.8,5.3,14.1,4.1,1.7,14.7,3.3,48.9,10.0,8.6,14.4,33.2,2120,78.9,9.8,11.3,0.0,6.8
6075017000,California,San Francisco,3825,2391,1434,6.7,74.9,2.3,0.0,13.4,0.5,3299,128921.0,11191.0,85061.0,9629.0,5.4,0.0,72.9,4.6,19.4,1.1,2.0,41.4,4.2,31.5,8.3,6.6,8.0,31.7,2642,71.5,10.6,17.9,0.0,3.9
6075017101,California,San Francisco,3733,1994,1739,6.9,80.1,4.1,0.0,4.0,0.0,3053,126591.0,17796.0,98459.0,11117.0,4.2,0.0,73.7,8.4,11.2,1.5,5.1,38.4,5.5,37.8,4.0,6.0,8.3,34.4,2509,78.6,9.4,12.0,0.0,3.5
6075017102,California,San Francisco,3764,1721,2043,9.0,77.3,3.0,0.0,6.9,0.0,3018,121500.0,20973.0,80376.0,8473.0,9.8,2.1,78.3,6.9,13.6,0.5,0.7,28.9,4.7,43.7,5.4,6.9,10.4,34.4,2690,72.4,16.1,11.5,0.0,5.9
6075017601,California,San Francisco,7208,4196,3012,8.2,27.6,13.0,0.0,45.2,0.5,4959,23757.0,5311.0,44238.0,11874.0,28.1,24.3,46.3,27.0,18.8,1.9,6.0,14.4,4.7,36.5,33.6,8.4,2.4,24.5,3741,87.2,5.8,7.1,0.0,4.6
6075017700,California,San Francisco,1763,1086,677,33.8,41.2,2.7,0.0,12.0,0.0,1219,78712.0,10183.0,50117.0,8756.0,18.0,35.4,46.5,17.4,22.7,7.2,6.3,27.6,4.2,32.7,10.9,14.3,10.2,26.8,1100,81.9,5.3,12.5,0.4,9.4
6075017801,California,San Francisco,3115,1171,1944,3.1,27.7,4.5,0.0,64.7,0.0,2775,16837.0,4682.0,52275.0,12504.0,36.8,0.0,68.0,11.5,15.0,0.0,5.6,16.5,6.7,34.1,22.4,4.4,16.1,33.1,1055,78.1,8.2,13.6,0.0,6.7
6075017802,California,San Francisco,4539,2597,1942,15.5,40.3,13.5,0.0,21.2,0.4,3475,70057.0,15781.0,46357.0,6919.0,22.3,7.5,60.3,16.4,15.6,2.8,4.9,26.8,4.3,27.6,21.5,9.3,10.4,27.7,2597,84.3,6.2,8.9,0.6,7.3
6075017902,California,San Francisco,3187,1716,1471,28.5,28.1,18.6,0.1,16.7,1.4,2103,40769.0,10843.0,14644.0,2558.0,51.8,42.9,26.9,28.4,26.9,7.3,10.5,27.2,6.3,47.4,8.0,2.6,8.6,31.7,1388,76.7,17.2,6.1,0.0,13.3
6075018000,California,San Francisco,3231,2195,1036,15.6,42.0,14.9,0.4,20.4,0.8,2577,146667.0,29009.0,69196.0,9448.0,21.8,0.0,72.3,9.2,13.2,0.2,5.0,21.3,5.7,24.5,25.8,7.2,15.5,28.4,1772,90.2,4.7,5.1,0.0,7.8
6075020100,California,San Francisco,5548,3421,2127,43.8,28.4,4.1,0.9,18.0,0.9,3791,36951.0,9994.0,39368.0,6181.0,28.2,21.6,45.2,31.2,16.4,1.1,6.1,23.1,0.8,45.2,16.5,12.8,1.6,30.0,2918,82.5,8.2,9.4,0.0,11.3
6075020200,California,San Francisco,5925,3788,2137,20.5,53.4,5.9,0.0,15.0,0.0,4768,66750.0,18660.0,54996.0,6020.0,12.7,19.9,59.9,14.9,20.3,2.9,1.9,21.8,4.6,43.7,12.6,9.4,7.8,30.1,3558,83.4,9.2,7.3,0.0,9.8
6075020300,California,San Francisco,3030,1879,1151,15.0,64.1,2.3,1.4,12.1,0.0,2525,102069.0,14426.0,69069.0,6867.0,11.4,20.4,80.2,8.2,9.8,1.4,0.5,22.0,2.1,47.3,9.4,9.7,9.6,33.5,2123,78.0,10.4,11.6,0.0,4.3
6075020401,California,San Francisco,3139,1969,1170,4.8,74.4,3.8,0.8,10.9,0.0,2729,139460.0,17425.0,97288.0,13444.0,3.3,0.0,75.2,6.0,15.9,1.8,1.1,45.0,2.6,25.4,4.4,7.0,15.6,34.1,2362,75.3,8.0,16.8,0.0,2.7
6075020402,California,San Francisco,4490,2786,1704,13.1,69.3,2.5,0.0,12.6,0.0,3840,86952.0,8501.0,71640.0,12400.0,5.0,4.7,64.7,9.4,21.0,2.3,2.6,56.8,5.4,23.1,4.7,3.2,6.8,34.4,3019,71.1,19.8,9.0,0.0,2.2
6075020500,California,San Francisco,2738,1721,1017,9.3,77.4,2.4,0.5,7.6,0.0,2241,116000.0,19415.0,82854.0,14040.0,6.1,5.9,62.9,13.3,18.9,4.3,0.6,28.4,4.7,47.1,7.1,4.6,8.1,29.6,1986,83.4,5.5,11.1,0.0,3.1
6075020600,California,San Francisco,4661,2934,1727,9.9,74.6,2.2,0.3,9.6,0.6,4096,133750.0,20476.0,105863.0,16880.0,8.4,0.0,73.3,10.0,15.9,0.6,0.3,32.6,2.7,42.3,6.3,7.3,8.9,29.9,3150,79.7,10.2,10.1,0.0,4.0
6075020700,California,San Francisco,5553,2642,2911,13.5,65.6,0.8,0.1,14.5,0.0,4417,127798.0,11792.0,92337.0,13820.0,12.1,20.9,77.6,6.0,13.0,1.2,2.3,23.1,4.6,44.1,9.7,12.6,6.0,28.7,4197,88.1,5.2,6.7,0.0,4.1
6075020800,California,San Francisco,6302,3845,2457,47.1,32.5,1.8,1.0,12.8,0.2,4122,67295.0,25019.0,48971.0,7762.0,15.4,3.4,43.6,23.8,9.7,13.9,9.1,20.7,0.6,42.9,14.2,17.3,4.3,31.5,4207,85.1,7.2,6.7,1.0,7.2
6075020900,California,San Francisco,4774,2567,2207,50.5,35.9,0.9,0.0,9.7,0.0,3084,50078.0,7814.0,35833.0,5264.0,17.7,9.5,37.8,31.0,16.9,4.8,9.4,21.9,1.8,44.4,10.2,12.2,9.6,30.6,2901,79.7,8.9,11.4,0.0,6.1
6075021000,California,San Francisco,4564,2631,1933,20.6,62.4,0.5,0.5,12.3,0.0,3719,96330.0,19169.0,67167.0,9925.0,8.5,0.0,72.5,9.3,10.9,0.4,6.9,21.4,0.4,51.5,8.9,7.3,10.5,30.5,3256,79.0,8.4,12.3,0.3,4.1
6075021100,California,San Francisco,3984,1992,1992,11.1,71.1,0.8,0.5,12.2,0.0,2981,118221.0,24252.0,92638.0,13414.0,6.3,7.2,75.1,5.6,15.0,3.2,1.1,36.5,7.6,31.1,2.2,8.8,13.8,32.9,2469,77.7,13.1,9.0,0.3,7.5
6075021200,California,San Francisco,2851,1402,1449,7.9,76.9,1.1,0.0,11.2,0.0,2203,130266.0,8828.0,89841.0,13889.0,6.9,0.0,77.5,3.3,15.8,1.1,2.2,43.2,12.8,25.7,0.5,8.3,9.5,31.5,1921,78.3,11.6,10.2,0.0,3.7
6075021300,California,San Francisco,2661,1498,1163,8.2,72.6,0.0,0.0,12.1,0.0,2033,171184.0,36770.0,97473.0,15375.0,3.2,0.0,74.3,4.9,15.3,3.7,1.8,39.6,5.4,36.6,0.0,7.5,10.9,34.1,1685,82.7,8.0,9.3,0.0,2.1
6075021400,California,San Francisco,3697,1838,1859,12.5,71.0,0.0,0.0,13.2,1.1,2878,142386.0,18515.0,92461.0,11541.0,3.2,1.7,77.7,3.5,16.3,1.6,0.9,38.0,7.7,34.1,3.7,6.4,10.1,33.2,2368,79.1,11.2,9.7,0.0,6.3
6075021500,California,San Francisco,5181,2519,2662,11.1,72.5,3.0,0.0,10.2,0.4,3897,110500.0,9306.0,78506.0,8004.0,5.6,0.0,66.8,8.1,17.2,4.6,3.3,38.2,4.6,33.6,1.4,11.6,10.6,32.9,3538,75.8,12.7,10.4,1.1,4.2
6075021600,California,San Francisco,4395,2226,2169,12.3,54.4,8.8,0.0,20.6,0.0,3573,115500.0,28572.0,73392.0,12302.0,7.9,12.8,66.0,15.2,16.7,1.0,1.1,34.6,8.4,35.0,5.6,5.6,10.9,38.0,2830,72.6,8.1,19.3,0.0,5.7
6075021700,California,San Francisco,3975,2098,1877,12.6,54.5,8.8,0.2,19.8,0.0,2986,102431.0,25921.0,66103.0,8498.0,11.3,7.8,63.7,13.0,19.7,0.5,3.0,43.3,8.1,34.2,1.0,7.8,5.5,31.6,2142,78.2,10.3,11.5,0.0,6.1
6075021800,California,San Francisco,4144,2123,2021,12.3,73.3,2.9,0.0,7.9,0.0,3149,123646.0,14221.0,73983.0,7207.0,5.6,0.0,78.1,3.9,14.3,2.1,1.6,41.3,5.9,33.5,1.1,10.0,8.1,34.9,2475,71.6,11.2,17.3,0.0,4.4
